True_Label,Pred_Prob
0,0.0921954
0,0.27793515
0,0.002084228
0,0.006360518
0,4.1213458e-05
0,0.00067879277
0,0.001624547
0,0.05954427
0,0.17274015
0,0.34820688
0,0.0004202624
0,0.18208614
0,0.002894512
0,0.0020541188
0,0.0136378165
0,0.0023309505
0,0.99999976
0,0.115986735
0,1.8462248e-06
0,0.000303567
0,0.011430536
0,0.008466245
0,0.46009162
0,0.0005226812
0,0.006543008
0,1.7806333e-06
0,0.0056446646
0,1.2946933e-05
0,0.026750118
0,0.012012698
0,7.762274e-05
0,0.009691936
0,0.0036654286
0,0.00012465776
0,0.018039457
0,9.797114e-06
0,3.286877e-06
0,0.006080087
0,0.0031589365
0,0.00014958158
0,0.4766617
0,0.0003612551
0,0.0005201317
0,1.6280626e-05
0,0.77951044
0,0.8916676
0,0.57684094
0,0.5015337
0,0.043258846
0,0.19421372
0,0.006737604
0,0.0012878838
0,0.88128525
0,0.018687764
0,0.0015566244
0,4.7181112e-07
0,0.8232009
0,0.00047118135
0,0.00050036854
0,0.32879683
0,1.5786571e-06
0,0.98986757
0,0.065684505
0,1.0514455e-06
0,0.00047712927
0,1.922935e-05
0,0.14656438
0,0.17541647
0,0.012030193
0,0.000453467
0,0.00028654985
0,0.00045267062
0,0.0008866703
0,0.005860814
0,0.00012729332
0,0.0015494514
0,0.0023045135
0,0.022700548
0,4.5084892e-07
0,9.193927e-06
0,0.0012349314
0,0.0045989603
0,5.4589276e-05
0,0.6172576
0,0.002160148
0,0.1384608
0,0.00017883604
0,0.011020719
0,0.14501874
0,0.56782407
0,2.3121925e-06
0,7.411581e-05
0,0.00038545497
0,0.0025339723
0,0.10099269
0,0.1009927
0,9.4175584e-07
0,0.022210516
0,0.11869063
0,0.001984666
0,0.00040041486
0,0.021339552
0,0.0012265601
0,0.24507502
0,0.013267519
0,0.03212668
0,0.001195716
0,0.00012703455
0,0.00026351705
0,0.023324128
0,0.025152778
0,0.00020276567
0,0.011438401
0,0.2489949
0,0.00026421316
0,0.30251327
0,0.4871024
0,0.43755677
0,0.4375567
0,0.8754853
0,0.4415852
0,0.9995228
0,0.8640562
0,0.7407574
0,0.7228899
0,4.8207943e-07
0,0.982395
